,Sample_6
NODE_3_length_19734_cov_16.041054,13832
NODE_5_length_19218_cov_10.325950,7593
NODE_7_length_17842_cov_10.775851,10806
NODE_8_length_16678_cov_10.568942,7771
NODE_11_length_14182_cov_9.084013,6566
NODE_13_length_13871_cov_9.502755,6635
NODE_17_length_11309_cov_7.253027,5190
NODE_23_length_10525_cov_5.630838,2461
NODE_25_length_10168_cov_6.674264,2879
NODE_27_length_10132_cov_6.813923,4575
NODE_37_length_8863_cov_8.722627,4615
NODE_41_length_8752_cov_7.525303,4021
NODE_53_length_8160_cov_8.086478,4216
NODE_54_length_8151_cov_7.107134,3088
NODE_61_length_7916_cov_5.860824,2045
NODE_66_length_7557_cov_7.958556,3751
NODE_69_length_7232_cov_4.517680,2209
NODE_81_length_6995_cov_6.281295,2750
NODE_87_length_6773_cov_7.590054,2826
NODE_90_length_6506_cov_8.534142,2426
NODE_91_length_6491_cov_5.677424,2672
NODE_99_length_6321_cov_6.229821,1675
NODE_104_length_6218_cov_6.150790,2687
NODE_105_length_6138_cov_8.371886,2998
NODE_125_length_5643_cov_6.480956,1712
NODE_127_length_5632_cov_7.808821,2306
NODE_131_length_5580_cov_10.103398,2242
NODE_145_length_5359_cov_7.443393,2019
NODE_150_length_5307_cov_4.290440,1315
NODE_157_length_5244_cov_3.709890,1570
NODE_160_length_5187_cov_3.934638,1570
NODE_169_length_5032_cov_5.016751,1853
NODE_182_length_4852_cov_4.908482,1105
NODE_199_length_4565_cov_3.950089,1011
NODE_203_length_4515_cov_3.661109,1385
NODE_207_length_4482_cov_4.179342,925
NODE_212_length_4454_cov_4.024446,1151
NODE_218_length_4357_cov_6.166355,1403
NODE_223_length_4256_cov_3.845896,624
NODE_224_length_4252_cov_5.836886,1019
NODE_232_length_4172_cov_4.262759,1318
NODE_241_length_4092_cov_5.288667,1028
NODE_277_length_3791_cov_4.661012,1238
NODE_295_length_3628_cov_4.539566,880
NODE_297_length_3622_cov_5.670804,953
NODE_302_length_3559_cov_3.960368,1060
NODE_308_length_3528_cov_4.700666,1165
NODE_338_length_3369_cov_4.057716,766
NODE_351_length_3273_cov_3.354506,596
NODE_295_length_3681_cov_4.5395661,426
NODE_297_length_3621_cov_5.6708041,4262
NODE_302_length_3552_cov_3.9603681,0
NODE_308_length_3528_cov_4.7006661,5425
NODE_338_length_3389_cov_4.0577161,7345
NODE_295_length_36211_cov_4.5395661,613
NODE_297_length_3524_cov_5.6708041,6345
NODE_302_length_3422_cov_3.9603681,1466
NODE_308_length_33432_cov_4.7006661,0
NODE_338_length_3355_cov_4.0577161,823556
